display_name,n_conjugates,applications,kinds,aliases,sources
CD207,1,suspension,antibody,,pdv2|store
CD21/CD35,2,suspension,antibody,CD21; CD35,store|store:cd
CD22,1,suspension,antibody,,pdv2|store
CD223/LAG-3,7,imaging|suspension,antibody,CD223; CD223/LAG3; LAG-3; LAG3,curated|pdv2|store|store:cd|store:part
CD226,1,suspension,antibody,,pdv2|store
CD227/Mucin 1,1,imaging,antibody,CD227; CD227/MUC1; Mucin 1,pdv2|store|store:cd|store:part
CD229,2,suspension,antibody,CD229/Ly-9,pdv2|store
CD23,3,suspension,antibody,,pdv2|store
CD231,1,suspension,antibody,CD231/TALLA,pdv2|store
CD235ab,4,imaging|suspension,antibody,CD235ab/Glycophorin ab,pdv2|store
CD24,4,suspension,antibody,,pdv2|store
CD244.2,1,suspension,antibody,,store
CD244/2B4,1,suspension,antibody,2B4; CD244,pdv2|store|store:cd|store:part
CD25/IL2Rα,7,imaging|suspension,antibody,CD25; CD25/IL-2R; IL2Rα,pdv2|store|store:cd|store:part
CD257,1,suspension,antibody,CD257/BAFF/BLYS,pdv2|store
CD26,2,suspension,antibody,,pdv2|store
CD268,1,suspension,antibody,CD268/BAFF-R,pdv2|store
CD27,8,imaging|suspension,antibody,,pdv2|store
CD270/HVEM,1,suspension,antibody,CD270; CD270/HVEM/TR2; HVEM,pdv2|store|store:cd|store:part
CD271,1,suspension,antibody,,pdv2|store
CD272/BTLA,3,suspension,antibody,BTLA; CD272,pdv2|store|store:cd|store:part
CD273/PD-L2,3,imaging|suspension,antibody,CD273; PD-L2,pdv2|store|store:cd|store:part
CD274/PD-L1,16,imaging|suspension,antibody,B7-H1; CD274; PD-L1; PDL1,curated|pdv2|store|store:cd|store:part
CD276/B7-H3,1,imaging,antibody,B7-H3; CD276,pdv2|store|store:cd|store:part
CD278/ICOS,11,imaging|suspension,antibody,CD278; ICOS,pdv2|store|store:cd|store:part
CD279/PD-1,11,imaging|suspension,antibody,CD279; PD-1; PD1; PDCD1,curated|pdv2|store|store:cd|store:part
CD28,3,imaging|suspension,antibody,,pdv2|store
CD282/TLR2,3,suspension,antibody,CD282; TLR2,pdv2|store|store:cd|store:part
CD284/TLR4,1,suspension,antibody,CD284; TLR4,pdv2|store|store:cd|store:part
CD29,1,suspension,antibody,,pdv2|store
CD294/CRTH2,1,suspension,antibody,CD294; CRTH2,pdv2|store|store:cd|store:part
CD301/CLEC10A,1,suspension,antibody,CD301; CLEC10A,pdv2|store|store:cd|store:part
CD303/BDCA2,2,suspension,antibody,BDCA2; CD303,pdv2|store|store:cd|store:part
CD304/Neuropilin-1,1,suspension,antibody,CD304; Neuropilin-1,pdv2|store|store:cd|store:part
CD309/KDR,1,suspension,antibody,CD309; KDR,pdv2|store|store:cd|store:part
