Application,Part Number,Target,Clone,Metal,Reported Reactivity,Format,Technical Data Sheet,Safety Data Sheet,Sample Type,Assay Type
IMC (Imaging),3089006D,Anti-Human Collagen I,<div>Polyclonal</div>,89Y,"Human, Bovine","25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000000qRbF/wyjrQP2gf4IxygLlhGMKf2kALMwPchfIwiFRmWLFmB0"" target=""_blank"">PRD025-3089006D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3115001D,Anti-Human CD20,<div>H1</div>,115In,Human,"25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000000qRbZ/zibNgCaJ_dItpIqgZqEnuvlg_PmPqpfHdjHOavF1AMc"" target=""_blank"">PRD025-3115001D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001871B/MeSTzNFqAX1JSIMP9qax90qQmfB2q0mk6RgDRE8kaTE"" target=""_blank"">SDS-00068</a>",FFPE,Maxpar
IMC (Imaging),3141017D,Anti-Human α-Smooth Muscle Actin,<div>1A4</div>,141Pr,"Human, Mouse","25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019iRs/S9qg5DhAeYaxh.PbNWGf83euWhMFe6Zp71j55SV_WYU"" target=""_blank"">PRD025-3141017D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>","FFPE, Frozen",Maxpar
IMC (Imaging),3141018D,Anti-Human CD38 ,<div>EPR4106</div>,141Pr,Human,"25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019iSJ/xp.hoh5xXA2k_5OfEd9OZGPTHq7SLQoQU3B.inBuTM8"" target=""_blank"">PRD025-3141018D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3141020D,Anti-Human CD38 ,<div>HIT2</div>,141Pr,Human,"25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019n59/mzbekdzV1P47cLHAmMx8wD360RxkH8Zmws2Y2UOzLnk"" target=""_blank"">PRD025-3141020D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",Frozen,Maxpar
IMC (Imaging),3141021D,Anti-Human Pan-CytoKeratin,<div>AE-1/AE-3</div>,141Pr,"Human, Rat, Dog, Non-Human Primate","25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000000qRbK/odAy_sFvMWrvKORyuqZIB6.YmALSflnhiJjFOY75cCo"" target=""_blank"">PRD025-3141021D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3142013D,Anti-Human EGFR ,<div>D38B1</div>,142Nd,"Human, Mouse, Monkey","25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019iSN/HKEDsTN.0YV06Gz.lNYLzJOyImoo9WzR.pLY.nHEq40"" target=""_blank"">PRD025-3142013D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3142014D,Anti-CD19 ,<div>6OMP31</div>,142Nd,"Human, Mouse, Rat","25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019iSI/Mmllyal5n4d6qsFsoPBANgXJaLThAKWt8pPxGrhgMQE"" target=""_blank"">PRD025-3142014D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3142016D,Anti-Human CD19,<div>HIB19</div>,142Nd,"Human, Chimpanzee, Rhesus","25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019iRr/iyz.fWyfPRr4_VblJ50G9fXh669bPe6cc0rTkE23TNw"" target=""_blank"">PRD025-3142016D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",Frozen,Maxpar
IMC (Imaging),3142020D,Anti-Human/Mouse Iba1,<div>EPR16588</div>,142Nd,"Human, Mouse, Rat","25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u00000187HY/Kcu21oMtRVZPDlJTlsJsK2kE3eWIyYG3ntohT8fZRU8"" target=""_blank"">PRD025-3142020D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3142022D,Anti-Human CD38,<div>E7Z8C</div>,142Nd,"Human, Monkey","25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000000qRbv/magW3If1INbaT0E5wib.7zQWr8bCSepqOLtyt0E68xI"" target=""_blank"">PRD025-3142022D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3143026D,Anti-Human p53 ,<div>DO-7</div>,143Nd,Human,"25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019iRq/oYJQJksgUFhFqUE9pPhiBoV.T75VhM7vdU8EQ3HV4Mw"" target=""_blank"">PRD025-3143026D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3143027D,Anti-Vimentin ,<div>D21H3</div>,143Nd,"Rat, Mouse, Human, Monkey","25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019iS8/6bDslCZ0sIqrzB7eUQMQzANpb3o5wYsMUe2OZgbXT74"" target=""_blank"">PRD025-3143027D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3143029D,Anti-Vimentin ,<div>RV202</div>,143Nd,"Rabbit, Rat, Mouse, Bovine, Canine, Hamster, Monkey, Cross","25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019iQS/n_XnHE2K5WCZlG8uJWWd6UsognMwfAkoxBPNTbnD2_k"" target=""_blank"">PRD025-3143029D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>","FFPE, Frozen",Maxpar
IMC (Imaging),3143030D,Anti-Human/Mouse GFAP,<div>GA5</div>,143Nd,"Human, Mouse, Chicken, Pig, Rabbit, Rat","25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u00000187I7/cGi37sB8WlRkkRvCUMuOlPqGlZoyGPZ6oQfpsJB_Su4"" target=""_blank"">PRD025-3143030D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3143032D,Anti-Human CD7,<div>EPR4242</div>,143Nd,"Human, Mouse, Rat","25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000000qRc3/FjI6EvbnlUPZBGVgAkCdnmA35Wy4IHiMoAJU_QWVuIE"" target=""_blank"">PRD025-3143032D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3144024D,Anti-pTyrosine,<div>P-Tyr-100</div>,144Nd,"Rat, Mouse, Human, All","25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019iRt/wpIE7cU1N.mDBURBO4N94HkZp2T88R.3wZxtVTACj2s"" target=""_blank"">PRD025-3144024D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3144025D,Anti-Human CD14 ,<div>EPR3653</div>,144Nd,Human,"25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019iRp/AA9BCUK2IxeXmzz9HiW3FNjeyp3V19QUfhKp2xOZsP0"" target=""_blank"">PRD025-3144025D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3144027D,"Anti-Human HLA-A,B,C ",<div>W6/32</div>,144Nd,Human,"25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019iRg/dz71AWXfzoGkhrugwWHpO0zEsHu5NB_GG3dajqcsv_U"" target=""_blank"">PRD025-3144027D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",Frozen,Maxpar
IMC (Imaging),3144030D,Anti-Human CD11b,<div>EPR1344</div>,144Nd,"Mouse, Rat, Human, Pig, Rhesus Monkey","25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000000qRbj/ilMsGGqveuxrFbO9z.PJSsTqANVBR4OpOZsY8SE06mU"" target=""_blank"">PRD025-3144030D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3145019D,Anti-Human/Mouse NeuN,<div>EPR12763</div>,145Nd,"Human, Mouse, Rat, Sheep, Goat, Cat, Dog, Zebrafish, Common Marmoset","25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001VRnY/IsOXLfPVrYJl9S0Me88NTEvZmGN8tGkrvEhDjm8OeYo"" target=""_blank"">PRD025-3145019D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3145021D,Anti-Human CD15/SSEA-1,<div>W6D3</div>,145Nd,Human,"25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000000qRbx/ZY_T0tNJx4rxy3sOnpuVscvz5PG3_Voj98uBxFnKCb0"" target=""_blank"">PRD025-3145021D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3146019D,Anti-Human/Mouse BCL-2,<div>EPR17509</div>,146Nd,"Human, Mouse","25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019iPq/onsLZXti.nGvwJfpC90Jp95H0blc5GNN4F8QmcxgbfY"" target=""_blank"">PRD025-3146019D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3146020D,Anti-Human CD16 ,<div>EPR16784</div>,146Nd,Human,"25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/#700000009DAw/a/4u0000019iRe/iDUh_mtBTeR.A4Y8617m.CeXBk3xZa3TQcHL8zdxdxs"" target=""_blank"">PRD025-3146020D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>","FFPE, Frozen",Maxpar
IMC (Imaging),3146021D,Anti-Human/Mouse S100β,<div>EP1576Y</div>,146Nd,"Human, Mouse, Rat","25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001VRnd/RjMrcj6ZF8Ap21X97JTdVoFLsCDP.KC6_MSuWZPlI3k"" target=""_blank"">PRD025-3146021D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3147020D,Anti-Human/Mouse BCL-6 ,<div>K112-91</div>,147Sm,"Human, Mouse","25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019iRP/3jxUGH9f7wBxlGNdOO1TGh7l3vYThqA_99rtvKn72zE"" target=""_blank"">PRD025-3147020D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3147021D,Anti-Human CD163/M130 ,<div>EDHu-1</div>,147Sm,Human,"25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019iR7/Lwq5zVvrZE61icCKP_drS0j041sczNdj4s6x4.bjgio"" target=""_blank"">PRD025-3147021D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>","FFPE, Frozen",Maxpar
IMC (Imaging),3147022D,Anti-SOX9,<div>EPR14335</div>,147Sm,Human,"25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019iPp/e2qpL04FreLyTzgQjp38hjy56XvpKq3j.7dtVeptD3c"" target=""_blank"">PRD025-3147022D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3148020D,Anti-Human Pan-Keratin ,<div>C11</div>,148Nd,"Human, Mouse, Rat, Monkey","25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019iPZ/GfPpGYYAbmrr8egRAu63WUbCX3ZrS1RviQ4EjK_MxNs"" target=""_blank"">PRD025-3148020D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>","FFPE, Frozen",Maxpar
IMC (Imaging),3148021D,Anti-Human CD278/ICOS ,<div>D1K2T</div>,148Nd,Human,"25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019iPg/LuI5s6MraLe_WfvE.YqnxHZT00JRlX6wpDsIYgiVhA8"" target=""_blank"">PRD025-3148021D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3148022D,Anti-Pan-Cytokeratin ,<div>AE-1/AE-3</div>,148Nd,Human,"25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019n5E/gdvMQvxG.2pMw1aMSiMWkrTbC1IYmY5CoVnY4lKmmPQ"" target=""_blank"">PRD025-3148022D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>","FFPE, Frozen",Maxpar
IMC (Imaging),3148023D,Anti-Human/Mouse MAP2,<div>EPR19691</div>,148Nd,"Human, Mouse, Rat","25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u00000187Hy/p2kxvhYaycnny7DdUHVKpq0Q5PecP5k8B7NA4ImJR7E"" target=""_blank"">PRD025-3148023D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3148024D,Anti-Human MPO,<div>EPR20257</div>,148Nd,"Human, Mouse, Rat","25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000000qRc8/q9Te6rMCP0g5Hz6B_K30zd35xLJxv3AJqSLgCCnPYmY"" target=""_blank"">PRD025-3148024D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3149023D,Anti-p4E-BP1 [T37/T46],<div>236B4</div>,149Sm,Human,"25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019iR6/HpkmQ23lnoxKYXlSFOgptNZbYvtUcoQg.JV92r55NMQ"" target=""_blank"">PRD025-3149023D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3149024D,Anti-Human Syk ,<div>4D10.2</div>,149Sm,Human,"25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019iQh/_52JQWkaaiS1Nuy4Id97OWUh_hYh2kSbeXX36I8BtM4"" target=""_blank"">PRD025-3149024D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3149026D,Anti-Human CD15 ,<div>W6D3</div>,149Sm,Human,"25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019iPf/4gz1SUoBbYaLs.TX5YhQdvXlkP1_IKUG9EsHiNWp7_E"" target=""_blank"">PRD025-3149026D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>","FFPE, Frozen",Maxpar
IMC (Imaging),3149028D,Anti-Human/Mouse CD11b ,<div>EPR1344</div>,149Sm,"Human, Mouse","25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019iR5/AMAp_Q5uNgjYQtflGNM7TMKnl4ljOGOk9EwzokX_SrA"" target=""_blank"">PRD025-3149028D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3149030D,Anti-Human CD194/CCR4 ,<div>L291H4</div>,149Sm,Human,"25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019iR0/KuljN1YAoLkUXGjO.ypt2amXhtO8hstvEKel6_GvE38"" target=""_blank"">PRD025-3149030D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3149032D,Anti-Human Vimentin,<div>D21H3</div>,149Sm,"Human, Mouse, Rat, Hamster, Monkey","25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000000qRby/6NFzSC87a2AYiw9ls.4WcM65yFti6_WCVwkjJmQCqz0"" target=""_blank"">PRD025-3149032D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3150029D,Anti-Human CD63 ,<div>H5C6</div>,150Nd,Human,"25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019iQl/UhN8pVnRQq0b50gebK21kllYs8466IJG7A0iO2uX9jc"" target=""_blank"">PRD025-3150029D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3150031D,Anti-Human PD-L1,<div>E1L3N</div>,150Nd,Human,"25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019iQc/Dowh4Oxs7AbWV8JvnUC0P0e10JssGtg2fMK3A_XrE1Q"" target=""_blank"">PRD025-3150031D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3150032D,Anti-Human CD227/Mucin 1,<div>SM3</div>,150Nd,Human,"25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019n5J/TIoKfUOT63i2m0CX_X0E0bdhPHJwOMh9X5aYyh2f1rY"" target=""_blank"">PRD025-3150032D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3150033D,Anti-Human CD274/PD-L1,<div>SP142 </div>,150Nd,Human,"25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019n5O/kEHuzEG_4p.3H7zu3.V.XPo96TKO4xDjxcehww.Jqrc"" target=""_blank"">PRD025-3150033D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>","FFPE, Frozen",Maxpar
IMC (Imaging),3150035D,Anti-Human Ki-67,<div>B56</div>,150Nd,"Human, Mouse, Rat, Rhesus","25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000000qRbu/hInBhh_tcrkvowVLWiuSq.Jo4egwUA_5IOFxFE0R5kE"" target=""_blank"">PRD025-3150035D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3151021D,Anti-Human CD107a/LAMP-1,<div>H4A3 </div>,151Eu,Human,"25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019iPu/bAj9Ijwh6xEPL9WGGr.FF.8FkqQlhByKWmbk4PMwDuQ"" target=""_blank"">PRD025-3151021D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
IMC (Imaging),3151024D,Anti-Human CD134/OX40 ,<div>Polyclonal</div>,151Eu,Human,"25µg, 0.5mg/mL","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u0000019iQg/9Ww2wqQ_JMQHsRUIWBoUb9NThrk4nQpYYuRW5W7p1.g"" target=""_blank"">PRD025-3151024D</a>","<a href=""https://fluidigm.my.salesforce.com/sfc/p/700000009DAw/a/4u000001870w/XU6eX2YZtdejnAfGRls.mPHhJTPvhOp30R18ZV_Asw4"" target=""_blank"">MSDS-3000000X</a>",FFPE,Maxpar
