panel_type,tag,channel,tag_active,tag_optimize_available,cat_code,pdv2_product_id,cat_number,product,target,clone,species,test_species,category,reagent_class,size,signal_di,tolerance_di,signal_legacy,tolerance_legacy,abundance,cell,stim,custom_avail,optimize_avail,release_date,active,price,pdf_url,notes
Flow,170Er,170,1,1,FDM,21,3170001B,Anti-Human CD3 (UCHT1) -170Er,CD3,UCHT1,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,372,74.0,,,,PBMC,none,1,1,2012-12-31,yes,0.00,TDS_3170001B.pdf,
Flow,167Er,167,1,0,FDM,847,3167015B,Anti-Human CD301/CLEC10a (H037G3)-167Er,CD301/CLEC10A,H037G3,Human,human,CD and Surface Markers,Metal-Conjugated Antibodies,100 Test,13,3.0,,,,THP-1-derived macrophages,None,1,1,2015-08-14,yes,0.00,TDS_3167015B.pdf,
Flow,147Sm,147,1,1,FDM,574,3147009B,Anti-Human CD303/BDCA2 (201A) -147Sm,CD303/BDCA2,201A,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,48,10.0,,,,PBMC,None,1,1,2014-08-29,yes,0.00,TDS_3147009B.pdf,
Flow,153Eu,153,1,1,FDM,456,3153007B,Anti-Human CD303/BDCA2 (201A) -153Eu,CD303/BDCA2,201A,Human,,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,157,31.0,,,,PBMC,none,1,1,2013-10-02,yes,0.00,TDS_3153007B.pdf,
Flow,169Tm,169,1,1,FDM,779,3169018B,Anti-Human CD304 / Neuro(12C2) -169Tm,CD304/Neuropilin-1,12C2,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 Test,86,17.0,,,,PBMC,None,1,1,2015-07-08,yes,0.00,TDS_3169018B.pdf,
Flow,154Sm,154,1,1,FDM,660,3154009B,Anti-Human CD309/KDR (7D4-6) -154Sm,CD309/KDR,7D4-6,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,29,6.0,,,,ES cells (U. Conn.),None,1,1,2015-03-18,yes,0.00,TDS_3154009B.pdf,
Flow,144Nd,144,1,0,FDM,1015,3144023B,Anti-Human CD31/PECAM-1 (WM59)-144Nd,CD31/PECAM-1,WM59,Human ,Human,CD & Surface Marker Antibodies,Metal-Conjugated Antibodies,100 Test,71,14.0,,,,PBMC,None,1,1,2017-06-19,yes,0.00,,
Flow,145Nd,145,1,0,FDM,311,3145004B,Anti-Human CD31/PECAM-1 (WM59) -145Nd,CD31/PECAM-1,WM59,Human,,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,272,54.0,,,,PBMC,none,1,1,2012-12-31,yes,0.00,TDS_3145004B.pdf,NEW
Flow,153Eu,153,1,1,FDM,757,3153018B,Anti-Human CD32 (FUN-2) -153Eu,CD32 ,FUN-2,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 Test,456,70.0,,,,PBMC,None,1,1,2015-07-08,yes,0.00,TDS_3153018B.pdf,
Flow,169Tm,169,1,1,FDM,916,3169020B,Anti-Human CD32 (FUN-2)-169Tm,CD32,FUN-2,Human ,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 Test,142,28.0,,,,PBMCs,None,1,1,2015-12-03,yes,0.00,TDS_3169020B.pdf,
Flow,158Gd,158,1,1,FDM,727,3158021A,Anti- CD324/E-Cadherin (24E10) -158Gd,CD324/E-Cadherin,24E10,Cross,Human,CD and Surface Markers,Metal-Conjugated Antibodies,50 Test,446,89.0,,,,MCF7,None,1,1,2015-06-15,yes,0.00,TDS_3158021A.pdf,
Flow,143Nd,143,1,1,FDM,835,3143016B,Anti-Human CD325/N-Cadherin (8C11)-143Nd,CD325/N-Cadherin,8C11,Human,human,CD and Surface Markers,Metal-Conjugated Antibodies,100 Test,125,25.0,,,,HeLa,none,1,1,2015-08-14,yes,0.00,TDS_3143016B.pdf,
Flow,141Pr,141,1,1,FDM,320,3141006B,Anti-Human CD326 [EpCAM] (9C4) -141Pr,CD326/EpCAM,9C4,Human,,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,1634,327.0,H,140.0,,HT-29 cell line,none,1,1,2012-12-31,yes,0.00,TDS_3141006B.pdf,NEW
Flow,152Sm,152,1,0,FDM,661,3152013B,Anti-Human CD328/Siglec-7 (194211)-152Sm,CD328/Siglec-7,194211,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 Test,129,26.0,,,,PBMC,None,1,1,2015-05-02,no,0.00,TDS_3152013B.pdf,
Flow,166Er,166,1,1,FDM,793,3166019B,Anti-Human CD328 (6-434) -166Er,CD328/Siglec-7,6-434,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 Test,145,3.0,,,,PBMC,None,1,1,2015-07-08,yes,0.00,TDS_3166019B.pdf,
Flow,111Cd,111,1,0,FDM,1309,92J042111,Anti-CD33 (WM53)-111Cd—25 uL,CD33,WM53,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,25 uL,114,22.7722,,,,,,1,1,,yes,,,
Flow,158Gd,158,1,1,FDM,33,3158001B,Anti-Human CD33 (WM53) -158Gd,CD33,WM53,Human,,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,176,35.0,,,,PBMC,none,1,1,2012-12-31,yes,0.00,TDS_3158001B.pdf,
Flow,163Dy,163,1,1,FDM,925,3163023B,Anti-Human CD33 (WM53)-163Dy,CD33,WM53,Human ,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 Test,216,43.0,,,,PBMCs,None,1,1,2015-12-03,yes,0.00,TDS_3163023B.pdf,
Flow,169Tm,169,1,1,FDM,445,3169010B,Anti-Human CD33 (WM53) -169Tm ,CD33,WM53,Human,,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,39,8.0,,,,PBMC,none,1,1,2013-08-15,yes,0.00,TDS_3169010B.pdf,
Flow,148Nd,148,1,1,FDM,34,3148001B,Anti-Human CD34 (581) -148Nd,CD34,581,Human,,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,866,173.0,,,,KG-1a,none,1,1,2012-12-31,yes,0.00,TDS_3148001B.pdf,
Flow,149Sm,149,1,1,FDM,680,3149013B,Anti-Human CD34 (581)-149Sm,CD34,581,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 Test,2689,538.0,,,,KG1a,None,1,1,2015-05-02,yes,0.00,TDS_3149013B.pdf,
Flow,163Dy,163,1,1,FDM,718,3163014B,Anti-Human CD34 (581) -163Dy,CD34,581,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,4402,880.0,,,,KG1a,None,1,1,2015-05-29,yes,0.00,TDS_3163014B.pdf,
Flow,166Er,166,1,1,FDM,513,3166012B,Anti-Human CD34 (581) - 166Er,CD34,581,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,3179,636.0,M,20.0,,Bone Marrow,None,1,1,2014-02-24,yes,0.00,TDS_3166012B.pdf,
Flow,143Nd,143,1,1,FDM,808,3143017B,Anti-Human CD352 (NT-7) -143Nd ,CD352/NTB-A,NT-7,Human,human,CD and Surface Markers,Metal-Conjugated Antibodies,100 Test,22,4.0,,,,whole blood,none,1,1,2015-07-08,yes,0.00,TDS_3143017B.pdf,
Flow,172Yb,172,1,1,FDM,763,3172022B,Anti-Human CD354 (TREM-26) -172Yb,CD354/TREM-1,TREM-26,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 Test,38,8.0,,,,PBMC,None,1,1,2015-07-08,yes,0.00,TDS_3172022B.pdf,
Flow,159Tb,159,1,1,FDM,791,3159020B,Anti-Human CD357 (621) -159Tb ,CD357/GITR,621,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 Test,12,3.0,,,,HT29,None,1,1,2015-07-08,yes,0.00,TDS_3159020B.pdf,
Flow,164Dy,164,1,1,FDM,1870,3164034B,Anti-CD357/GITR (108-17) - 164Dy,CD357/GITR,108-17,Human,Human,CD and Surface Makers,Metal-Conjugated Antibodies,100 test,66,6.53296,,,,,,1,1,,yes,,,
Flow,152Sm,152,1,0,FDM,319,3152007B,Anti-Human CD36 (5-271) -152Sm,CD36,5-271,Human,,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,1460,292.0,M,20.0,,PBMC,none,1,1,2012-12-31,yes,0.00,TDS_3152007B.pdf,NEW
Flow,155Gd,155,1,1,FDM,920,3155012B,Anti-Human CD36 (5-271)-155Gd,CD36,5-271,Human ,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 Test,1263,253.0,,,,PBMCs,None,1,1,2015-12-03,yes,0.00,TDS_3155012B.pdf,
Flow,153Eu,153,1,1,FDM,482,3153008B,Anti-Human CD366/Tim-3 (F38-2E2) -153Eu,CD366/Tim-3,F38-2E2,Human,,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,57,3.0,M,2.0,,PBMC,"PHA, 3 days",1,1,2013-12-02,yes,0.00,TDS_3153008B.pdf,
Flow,154Sm,154,1,1,FDM,672,3154010B,Anti-Human CD366/TIM-3 (F38-2E2)-154Sm,CD366/Tim-3,F38-2E2,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 Test,98,3.0,,,,PBMC,PHA,1,1,2015-05-02,yes,0.00,TDS_3154010B.pdf,
Flow,159Tb,159,1,1,FDM,1150,3159037B,Anti-Human CD366/Tim-3 (F38-2E2) - 159Tb - 100 Tests,CD366/Tim-3,F38-2E2,Human ,,IO,Metal-Conjugated Antibodies,100 Test,95,19.0,,,,PBMC,,1,1,2020-01-07,yes,0.00,,
Flow,169Tm,169,1,1,FDM,1151,3169028B,Anti-Human CD366/Tim-3 (F38-2E2) - 169Tm - 100 Tests,CD366/Tim-3,F38-2E2,Human ,,IO,Metal-Conjugated Antibodies,100 Test,149,30.0,,,,PBMC,,1,1,2020-01-07,yes,0.00,,
Flow,161Dy,161,1,1,FDM,811,3161018B,Anti-Human CD370/CLEC9a (8F9) -161Dy,CD370/CLEC9A/DNGR1,8F9,Human,human,CD and Surface Markers,Metal-Conjugated Antibodies,100 Test,49,10.0,,,,PBMC,none,1,1,2015-07-08,yes,0.00,TDS_3161018B.pdf,
Flow,173Yb,173,1,1,FDM,764,3173007B,Anti-Human CD371/CLEC12A (50C1) -173Yb,CD371/CLEC12A,50C1,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 Test,316,63.0,,,,PBMC,None,1,1,2015-07-08,yes,0.00,TDS_3173007B.pdf,
Flow,144Nd,144,1,0,FDM,550,3144014B,Anti-Human CD38 (HIT2) -144Nd,CD38,HIT2,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,121,24.0,,,,PBMC,None,1,1,2014-04-14,yes,0.00,TDS_3144014B.pdf,
Flow,161Dy,161,1,1,FDM,1653,3161034B,Anti-Human CD38 (HB-7)-161Dy—100 Tests,CD38,HB-7,Human,Human,CD and Surface Makers,Metal-Conjugated Antibodies,100 Test,151,30.0,,,,,,1,1,,yes,,,New Clones
Flow,167Er,167,1,0,FDM,35,3167001B,Anti-Human CD38 (HIT2) -167Er,CD38,HIT2,Human,,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,169,34.0,,,,PBMC,none,1,1,2012-12-31,yes,0.00,TDS_3167001B.pdf,
Flow,172Yb,172,1,1,FDM,285,3172007B,Anti-Human CD38 (HIT2) -172Yb,CD38,HIT2,Human,,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,126,25.0,,,,PBMC,none,1,1,2012-12-31,yes,0.00,TDS_3172007B.pdf,NEW
Flow,161Dy,161,1,1,FDM,1202,201325," Human CD38 (HB-7)-161Dy- MDIPA Kit, not sold separately",CD38 (Kit Only),HB-7,Human,,,Metal-Conjugated Antibodies,,142,28.0,,,,,,1,1,,yes,,,
Flow,160Gd,160,1,1,FDM,287,3160004B,Anti-Human CD39 (A1) -160Gd,CD39,A1,Human,,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,110,22.0,,,,PBMC,none,1,1,2012-12-31,yes,0.00,TDS_3160004B.pdf,NEW
Flow,141Pr,141,1,1,FDM,1292,92J030141,Anti-CD3epsilon (SK7)-141Pr—25 uL,CD3 epsilon,SK7,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,25 uL,134,26.8148,,,,,,1,1,,yes,,,
Flow,196Pt,196,1,1,FDM,1291,92J030196,Anti-CD3epsilon (SK7)-196Pt—25 uL,CD3 epsilon,SK7,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,25 uL,152,30.4362,,,,,,1,1,,yes,,,
Flow,144Nd,144,1,0,FDM,1657,3144029B,Anti-Human CD4 (SK3)-144Nd—100 Tests,CD4,SK3,Human,Human,CD and Surface Makers,Metal-Conjugated Antibodies,100 Test,259,52.0,,,,,,1,1,,yes,,,New Clones
Flow,145Nd,145,1,0,FDM,22,3145001B,Anti-Human CD4 (RPA-T4) -145Nd,CD4,RPA-T4,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,308,62.0,,,,PBMC,none,1,1,2012-12-31,yes,0.00,TDS_3145001B.pdf,
Flow,174Yb,174,1,1,FDM,248,3174004B,Anti-Human CD4 (SK3) -174Yb,CD4,SK3,Human,,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,643,128.0,,,,PBMC,none,1,1,2012-12-31,yes,0.00,TDS_3174004B.pdf,NEW
Flow,176Yb,176,1,1,FDM,601,3176010B,Anti-Human CD4 (RPA-T4) -176Yb,CD4,RPA-T4,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,613,123.0,,,,PBMC,None,1,1,2014-11-19,yes,0.00,TDS_3176010B.pdf,
Flow,142Nd,142,1,0,FDM,924,3142010B,Anti-Human CD40 (5C3)-142Nd,CD40,5C3,Human ,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 Test,67,13.34,,,,PBMCs,None,1,1,2015-12-03,yes,0.00,TDS_3142010B.pdf,
Flow,165Ho,165,1,1,FDM,312,3165005B,Anti-Human CD40 (5C3) -165Ho,CD40,5C3,Human,,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,94,19.0,,,,PBMC,none,1,1,2012-12-31,yes,0.00,TDS_3165005B.pdf,NEW
Flow,89Y,89,1,0,FDM,801,3089004B,Anti-Human CD41 (HIP8) -89Y ,CD41 ,HIP8,Human,human,CD and Surface Markers,Metal-Conjugated Antibodies,100 Test,235,47.0,,,,whole blood,none,1,1,2015-07-08,yes,0.00,TDS_3089004B.pdf,
Flow,144Nd,144,1,0,FDM,802,3144020B,Anti-Human CD42b (HIP1) -144Nd ,CD42b ,HIP1,Human,human,CD and Surface Markers,Metal-Conjugated Antibodies,100 Test,50,10.0,,,,whole blood,none,1,1,2015-07-08,yes,0.00,TDS_3144020B.pdf,
Flow,150Nd,150,1,1,FDM,313,3150006B,Anti-Human CD43 (84-3C1) -150Nd,CD43,84-3C1,Human,,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,77,15.0,M,14.0,,PBMC,none,1,1,2012-12-31,yes,0.00,TDS_3150006B.pdf,NEW
Flow,150Nd,150,1,1,FDM,607,3150018B,Anti-Human/Mouse CD44 (IM7) -150Nd,CD44,IM7,Human/Mouse,Mouse,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,2029,22.0,,,,Spleen,None,1,1,2014-11-19,yes,0.00,TDS_3150018B.pdf,
Flow,162Dy,162,1,0,FDM,1016,3162030B,Anti-Human/Mouse CD44 (IM7)-162Dy,CD44,IM7,Human/Mouse,Mouse,CD & Surface Marker Antibodies,Metal-Conjugated Antibodies,100 Test,2560,512.0,,,,splenocytes,None,1,1,2017-06-19,yes,0.00,,
Flow,166Er,166,1,1,FDM,36,3166001B,Anti-Human CD44 (BJ18) -166Er,CD44,BJ18,Human,,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,480,96.0,M,26.6,,PBMC,none,1,1,2012-12-31,yes,0.00,TDS_3166001B.pdf,
Flow,171Yb,171,1,1,FDM,8,3171003B,Anti-Human/Mouse CD44 (IM7) -171Yb,CD44,IM7,Human/Mouse,,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,3576,715.0,H,66.6,,spleen,none,1,1,2012-12-31,yes,0.00,TDS_3171003B.pdf,
Flow,153Eu,153,1,1,FDM,828,3153021B,Anti-Human CD44s Pan Specific (691534)-153Eu,CD44s Pan Specific,691534,Human,Human,CD and surface markers,Metal-Conjugated Antibodies,100 Test,167,33.0,,,,PBMC,None,1,1,2015-08-14,yes,0.00,TDS_3153021B.pdf,
Flow,89Y,89,1,0,FDM,577,3089003B,Anti-Human CD45 (HI30) -89Y,CD45,HI30,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,195,49.0,,,,PBMC,None,1,0,2014-08-29,yes,0.00,TDS_3089003B.pdf,
Flow,106Cd,106,1,0,FDM,1206,3106001B,Anti-Human CD45 (HI30)-106Cd,CD45,HI30,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,699,140.0,,0.0,,PBMC,none,1,1,2020-04-29,yes,0.00,TDS_3106001B.pdf,
Flow,110Cd,110,1,1,FDM,1207,3110001B,Anti-Human CD45 (HI30)-110Cd,CD45,HI30,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,727,145.0,,,,PBMC,none,1,1,2020-04-29,yes,0.00,TDS_3110001B.pdf,
Flow,111Cd,111,1,0,FDM,1208,3111001B,Anti-Human CD45 (HI30)-111Cd,CD45,HI30,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,642,128.0,,,,PBMC,none,1,1,2020-04-29,yes,0.00,TDS_3111001B.pdf,
Flow,112Cd,112,1,0,FDM,1209,3112001B,Anti-Human CD45 (HI30)-112Cd,CD45,HI30,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,572,114.0,,,,PBMC,none,1,1,2020-04-29,yes,0.00,TDS_3112001B.pdf,
Flow,113Cd,113,1,1,FDM,1210,3113001B,Anti-Human CD45 (HI30)-113Cd,CD45,HI30,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,614,123.0,,,,PBMC,none,1,1,2020-04-29,yes,0.00,TDS_3113001B.pdf,
Flow,114Cd,114,1,0,FDM,1211,3114001B,Anti-Human CD45 (HI30)-114Cd,CD45,HI30,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,590,118.0,,,,PBMC,none,1,1,2020-04-29,yes,0.00,TDS_3114001B.pdf,
Flow,116Cd,116,1,0,FDM,1212,3116001B,Anti-Human CD45 (HI30)-116Cd,CD45,HI30,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,480,96.0,,,,PBMC,none,1,1,2020-04-29,yes,0.00,TDS_3116001B.pdf,
Flow,141Pr,141,1,1,FDM,542,3141009B,Anti-Human CD45 (HI30) -141Pr,CD45,HI30,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,1093,219.0,,140.0,,PBMC,None,1,1,2014-04-02,yes,0.00,TDS_3141009B.pdf,
Flow,154Sm,154,1,1,FDM,37,3154001B,Anti-Human CD45 (HI30) -154Sm,CD45,HI30,Human,,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,1153,231.0,,,,PBMC,none,1,1,2012-12-31,yes,0.00,TDS_3154001B.pdf,
Flow,156Gd,156,1,1,FDM,385,3156010B,Anti-Human CD45 (HI30) -156Gd,CD45,HI30,Human,,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,583,116.0,H,140.0,,PBMC,none,1,1,2013-04-29,yes,0.00,TDS_3156010B.pdf,NEW
Flow,194Pt,194,1,1,FDM,1219,3194001B,Anti-Human CD45 (HI30)-194Pt,CD45,HI30,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,453,90.608,,,,PBMC,none,1,1,2020-12-11,yes,0.00,TDS_3194001B.pdf,
Flow,195Pt,195,1,1,FDM,1220,3195001B,Anti-Human CD45 (HI30)-195Pt,CD45,HI30,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,449,89.71,,,,PBMC,none,1,1,2020-12-11,yes,0.00,TDS_3195001B.pdf,
Flow,196Pt,196,1,1,FDM,1221,3196001B,Anti-Human CD45 (HI30)-196Pt,CD45,HI30,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,412,82.304,,,,PBMC,none,1,1,2020-12-11,yes,0.00,TDS_3196001B.pdf,
Flow,198Pt,198,1,1,FDM,1222,3198001B,Anti-Human CD45 (HI30)-198Pt,CD45,HI30,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,407,82.304,,,,PBMC,none,1,1,2020-12-11,yes,0.00,TDS_3198001B.pdf,
Flow,143Nd,143,1,1,FDM,324,3143006B,Anti-Human CD45RA (HI100) -143Nd,CD45RA,HI100,Human,,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,130,26.0,,,,PBMC,none,1,1,2012-12-31,yes,0.00,TDS_3143006B.pdf,NEW
Flow,150Nd,150,1,1,FDM,1649,3150034B,Anti-Human CD45RA (HI100)-150Nd—100 Tests,CD45RA,HI100,Human,Human,CD and Surface Makers,Metal-Conjugated Antibodies,100 Test,84,17.0,,,,,,1,1,,yes,,,New Clones
Flow,153Eu,153,1,1,FDM,1187,3153001B,Anti-Human CD45RA (HI100)-153Eu,CD45RA,HI100,Human ,Human ,CD and Surface Markers,Metal-Conjugated Antibodies,100 Test,100,10.0,,,,PBMCs,None,1,1,2015-10-29,yes,0.00,TDS_3155011B.pdf,
Flow,169Tm,169,1,1,FDM,345,3169008B,Anti-Human CD45RA (HI100) -169Tm,CD45RA,HI100,Human,,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,529,106.0,,,,PBMC,none,1,1,2013-02-27,yes,0.00,TDS_3169008B.pdf,NEW
Flow,170Er,170,1,1,FDM,684,3170010B,Anti-Human CD45RA (HI100)-170Er,CD45RA,HI100,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 Test,344,69.0,,,,PBMC,None,1,1,2015-05-02,yes,0.00,TDS_3170010B.pdf,
Flow,150Nd,150,1,1,FDM,1336,201325,"Anti-Human CD45RA (HI100) - 150Nd- MDIPA Kit, not sold separately",CD45RA (Kit Only),HI100,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 Test,139,28.0,,,,PBMC,none,1,1,2023-05-23,yes,0.00,,
Flow,145Nd,145,1,0,FDM,754,3145009B,Anti-Human CD45RB (MEM-55) -145Nd,CD45RB ,MEM-55,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 Test,298,60.0,,,,PBMC,None,1,1,2015-07-08,yes,0.00,TDS_3145009B.pdf,
Flow,149Sm,149,1,1,FDM,249,3149001B,Anti-Human CD45RO (UCHL1)-149Sm,CD45RO,UCHL1,Human,,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,60,11.98,L,1.4,,PBMC,none,1,1,2012-12-31,yes,0.00,TDS_3149001B.pdf,
Flow,150Nd,150,1,1,FDM,1312,92J044150,Anti-CD45RO (UCHL1)-150Nd—25 uL,CD45RO,UCHL1,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,25 uL,74,14.752,,,,,,1,1,,yes,,,
Flow,163Dy,163,1,1,FDM,1654,3163032B,Anti-Human CD45RO (UCHL1)-163Dy—100 Tests,CD45RO,UCHL1,Human,Human,CD and Surface Makers,Metal-Conjugated Antibodies,100 Test,119,24.0,,,,,,1,1,,yes,,,New Clones
Flow,164Dy,164,1,1,FDM,328,3164007B,Anti-Human CD45RO (UCHL1) -164Dy,CD45RO,UCHL1,Human,,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,344,69.0,M,5.0,,PBMC,none,1,1,2012-12-31,yes,0.00,TDS_3164007B.pdf,NEW
Flow,165Ho,165,1,1,FDM,358,3165011B,Anti-Human CD45RO (UCHL1) -165Ho,CD45RO,UCHL1,Human,,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,96,19.0,M,2.4,,PBMC,none,1,1,2013-03-21,yes,0.00,TDS_3165011B.pdf,NEW
Flow,194Pt,194,1,1,FDM,1311,92J044194,Anti-CD45RO (UCHL1)-194Pt—25 uL,CD45RO,UCHL1,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,25 uL,63,12.544,,,,,,1,1,,yes,,,
Flow,144Nd,144,1,0,FDM,439,3144011B,Anti- Mouse CD45R/B220(RA3-6B2) -144Nd,CD45R/B220,RA3-6B2,Human/Mouse,,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,30,6.0,M,6.0,,spleen,none,1,1,2013-08-15,yes,0.00,TDS_3144011B.pdf,
Flow,159Tb,159,1,1,FDM,562,3159015B,Anti-Human/Mouse CD45R/B220 (RA3-6B2) -159Tb,CD45R/B220,RA3-6B2,Human/Mouse,Mouse,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,1200,240.0,,,,Spleen,None,1,1,2014-06-03,yes,0.00,TDS_3159015B.pdf,
Flow,160Gd,160,1,1,FDM,643,3160012B,Anti-Mouse CD45R/B220 (RA3-6B2) -160Gd,CD45R/B220,RA3-6B2,Human/Mouse,Mouse,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,300,60.0,,,,Splenocytes,None,1,1,2015-03-18,yes,0.00,TDS_3160012B.pdf,
Flow,176Yb,176,1,1,FDM,338,3176002B,Anti-Human/Mouse CD45R [B220] (RA3-6B2) -176Yb,CD45R/B220,RA3-6B2,Human/Mouse,,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,136,27.0,M,14.0,,spleen,none,1,1,2012-12-31,yes,0.00,TDS_3176002B.pdf,
Flow,209Bi,209,1,1,FDM,930,3209004B,Anti-Human CD47 (CC2C6)-209Bi,CD47,CC2C6,Human ,human,CD and Surface Markers,Metal-Conjugated Antibodies,100 Test,164,33.0,,,,PBMC,None,1,1,2015-12-04,yes,0.00,TDS_3209004B.pdf,
Flow,163Dy,163,1,1,FDM,822,3163015B,Anti-Human CD49a (TS2/7)-163Dy,CD49a,TS2/7,Human ,human,CD and Surface Markers,Metal-Conjugated Antibodies,100 Test,428,86.0,,,,HT-29 (+ve) and MOLT-4 (-ve),none,1,1,2015-08-14,yes,0.00,TDS_3163015B.pdf,
Flow,161Dy,161,1,1,FDM,803,3161012B,Anti-Human CD49b (P1E6-C5) -161Dy ,CD49b ,P1E6-C5,Human,human,CD and Surface Markers,Metal-Conjugated Antibodies,100 Test,9,3.0,,,,whole blood,none,1,1,2015-07-08,yes,0.00,TDS_3161012B.pdf,
Flow,161Dy,161,1,1,FDM,823,3161016B,Anti-Human CD49c (ASC-1)-161Dy,CD49c/integrin alpha-3,ASC-1,Human ,human,CD and Surface Markers,Metal-Conjugated Antibodies,100 Test,580,116.0,,,,HT-29 (+ve) and MOLT-4 (-ve),none,1,1,2015-08-14,yes,0.00,TDS_3161016B.pdf,
Flow,141Pr,141,1,1,FDM,304,3141004B,Anti-Human CD49D (9F10) -141Pr,CD49d,9F10,Human,,CD and Surface Markers,Metal-Conjugated Antibodies,100 test,67,13.39,,,,PBMC,none,1,1,2012-12-31,yes,0.00,TDS_3141004B.pdf,NEW
Flow,174Yb,174,1,1,FDM,812,3174018B,Anti-Human CD49D (9F10) -174Yb ,CD49d,9F10,Human ,human,CD and Surface Markers,Metal-Conjugated Antibodies,100 Test,327,65.0,,,,PBMC,none,1,1,2015-07-08,yes,0.00,TDS_3174018B.pdf,
Flow,160Gd,160,1,1,FDM,761,3160015B,Anti-Human CD49e (NKI-SAM-1) -160Gd,CD49e ,NKI-SAM-1,Human,Human,CD and Surface Markers,Metal-Conjugated Antibodies,100 Test,221,44.0,,,,PBMC,None,1,1,2015-07-08,yes,0.00,TDS_3160015B.pdf,
